risk_band,customers,average_predicted_risk,actual_churn_rate
"(-0.001, 0.1]",155687,0.029963816,0.03002819760159808
"(0.1, 0.2]",17572,0.13903989,0.14984065558843615
"(0.2, 0.3]",5902,0.23761839,0.22958319213825823
"(0.3, 0.4]",4502,0.34075743,0.32407818747223455
"(0.4, 0.5]",3771,0.4742927,0.47706178732431714
"(0.5, 0.6]",58,0.57171226,0.5172413793103449
"(0.6, 0.7]",1456,0.64297765,0.6620879120879121
"(0.7, 0.8]",1027,0.75342464,0.7653359298928919
"(0.8, 0.9]",2766,0.8659827,0.8698481561822126
"(0.9, 1.0]",1451,0.9515365,0.9365954514128187
