feature,importance
numeric__amount_paid_last_31_days,0.29193798
numeric__latest_is_auto_renew,0.24413629
numeric__transaction_count_last_31_days,0.18239002
numeric__auto_renew_rate,0.037607294
numeric__days_since_last_transaction,0.029152326
numeric__latest_amount_paid,0.023113053
numeric__total_discount_amount,0.01677541
numeric__days_since_first_transaction,0.013770162
numeric__total_amount_paid,0.013267986
numeric__latest_list_price,0.012424866
numeric__transaction_count_last_90_days,0.0104444865
numeric__transaction_count_to_cutoff,0.0100001935
numeric__has_member_profile_flag,0.008884242
numeric__discount_rate,0.008483667
numeric__total_list_price,0.00837471
category__latest_payment_method_category,0.008242231
category__registration_channel_category,0.007840628
numeric__cancellations_last_31_days,0.0073374175
numeric__latest_is_cancel,0.006659537
numeric__average_amount_paid,0.006265209
